newlyConst,balcony,totalRent,hasKitchen,cellar,livingSpace,lift,typeOfFlat,geo_plz,noRooms,garden,regio3,date,buildingAge,schufa_yn,PersonalInfo_yn,incomeProof_yn,guarantee_yn,debtFreeProof_yn,ID_yn,utilitiesPrice
0,0,852.0,0,0,52.0,0,apartment,10589,2.0,0,Charlottenburg,May19,120.0,0,0,0,0,0,0,122.0
0,1,689.0,1,0,38.89,0,apartment,12207,1.0,0,Steglitz,May19,52.0,0,0,0,0,0,0,90.0
0,0,1310.67,1,0,65.61,1,apartment,10585,2.0,0,Charlottenburg,Oct19,4.0,0,0,0,0,0,0,214.67000000000007
0,0,680.0,1,1,20.5,1,apartment,13355,1.0,0,Wedding,Oct19,3.0,0,0,0,0,0,0,99.0
0,1,1700.0,1,1,98.98,0,apartment,13347,3.0,0,Wedding,May19,134.0,0,0,0,0,0,0,200.0
0,1,1271.62,1,1,87.88,0,apartment,12487,3.0,0,Treptow,Feb20,5.0,0,0,0,0,0,0,261.61999999999995
0,1,565.0,1,1,33.0,0,apartment,13583,1.0,0,Spandau,Oct19,84.0,0,0,0,0,0,0,105.0
0,1,1700.0,1,1,76.0,0,apartment,14199,3.0,0,Wilmersdorf,Sep18,55.0,0,0,0,0,0,0,450.0
1,1,2065.06,1,1,97.87,1,apartment,10557,4.0,0,Tiergarten,Feb20,1.0,0,0,0,0,0,0,294.05999999999995
0,1,1100.0,0,0,60.0,0,terraced_flat,13187,2.0,0,Pankow,May19,121.0,0,0,0,0,0,0,0.0
1,1,1021.77,1,0,53.22,1,apartment,10247,2.0,0,Friedrichshain,May19,1.0,0,0,0,0,0,0,157.76999999999995
0,1,1640.0,0,1,95.0,0,apartment,14199,3.5,0,Wilmersdorf,Oct19,119.0,0,0,0,0,0,0,220.0
0,1,1800.0,0,1,113.7,1,apartment,14167,4.5,0,Steglitz,May19,4.0,0,0,0,0,0,0,150.0
0,0,700.0,1,1,40.62,0,apartment,13403,1.0,0,Reinickendorf,Sep18,105.0,0,0,0,0,0,0,100.0
0,1,2244.0,1,1,151.58,0,roof_storey,14055,3.0,1,Charlottenburg,May19,27.0,0,0,0,0,0,0,389.0
0,1,808.0,0,0,56.11,0,apartment,13357,2.0,0,Wedding,Feb20,62.0,0,0,0,0,0,0,145.0
1,1,1735.0,0,1,103.99,1,apartment,12209,4.0,0,Steglitz,Sep18,3.0,0,0,0,0,0,0,280.0
0,1,649.0,1,0,56.0,0,apartment,12559,2.0,0,Köpenick,Feb20,23.0,0,0,0,0,0,0,120.0
0,0,1057.0,0,0,88.2,0,apartment,10553,3.0,0,Tiergarten,Oct19,127.0,0,0,0,0,0,0,175.0
0,1,930.0,1,1,78.5,0,apartment,12627,3.0,0,Hellersdorf,May19,24.0,0,0,0,0,0,0,231.0
0,1,970.0,1,0,35.0,1,apartment,12101,1.0,0,Tempelhof,Feb20,61.0,0,0,0,0,0,0,170.0
0,0,917.0,1,0,38.0,0,apartment,10625,1.0,0,Charlottenburg,May19,110.0,1,1,1,1,1,1,168.0
1,1,1400.0,1,1,65.5,1,apartment,10711,2.0,0,Wilmersdorf,Oct19,2.0,0,0,0,0,0,0,200.0
1,1,1376.0,1,1,69.1,1,apartment,10587,2.0,1,Charlottenburg,Oct19,1.0,0,0,0,0,0,0,270.0
0,1,1190.0,1,0,79.42,0,apartment,12683,4.0,1,Marzahn,Oct19,64.0,0,0,0,0,0,0,270.0
0,0,1325.0,0,0,71.67,0,apartment,10243,2.0,0,Friedrichshain,May19,116.0,0,0,0,0,0,0,250.0
0,0,1275.0,0,1,75.6,0,apartment,10247,2.0,0,Friedrichshain,Oct19,120.0,0,0,0,0,0,0,125.0
0,1,1830.25,1,1,99.5,1,apartment,10115,3.0,0,Mitte,Feb20,6.0,0,0,0,0,0,0,238.25
0,1,889.0,0,0,69.0,1,apartment,12057,3.0,0,Neukölln,Oct19,49.0,0,0,0,0,0,0,230.0
0,1,929.0,0,0,73.0,1,apartment,12057,3.0,0,Neukölln,Sep18,47.0,0,0,0,0,0,0,230.0
0,1,620.0,0,1,45.74,0,apartment,12489,2.0,0,Treptow,Sep18,81.0,0,0,0,0,0,0,175.0
1,1,2179.0,1,0,95.8,1,apartment,10179,4.0,0,Mitte,Feb20,1.0,0,0,0,0,0,0,380.0
0,0,1850.0,1,0,87.0,0,loft,10243,2.0,1,Friedrichshain,Oct19,116.0,0,0,0,0,0,0,250.0
0,1,1175.0,1,1,93.7,0,apartment,12167,3.0,1,Steglitz,Feb20,112.0,0,0,0,0,0,1,200.0
1,1,1485.0,1,1,93.85,1,ground_floor,12277,3.0,0,Tempelhof,May19,2.0,0,0,0,0,0,0,258.0
0,1,699.15,0,1,69.14,0,apartment,12627,3.0,0,Hellersdorf,Oct19,32.0,0,0,0,0,0,0,222.15
0,1,1048.0,0,0,49.31,1,apartment,13347,2.0,0,Wedding,Sep18,51.0,0,0,0,0,0,0,210.0
1,1,2998.24,1,1,128.68,1,roof_storey,10825,4.0,0,Schöneberg,Oct19,1.0,0,0,0,0,0,0,309.2399999999998
0,1,950.0,1,0,85.0,0,ground_floor,12559,4.0,0,Köpenick,May19,23.0,0,0,0,0,0,0,180.0
1,1,1503.16,0,0,109.48,1,apartment,12587,4.0,0,Köpenick,Sep18,2.0,0,0,0,0,0,0,266.1600000000001
0,1,1332.11,0,0,102.47,1,roof_storey,13156,3.0,0,Pankow,Sep18,120.0,0,0,0,0,0,0,308.1099999999999
1,1,1300.0,0,0,93.7,0,ground_floor,12623,2.0,1,Hellersdorf,Oct19,1.0,0,0,0,0,0,0,150.0
1,1,1295.8,1,1,65.4,1,apartment,12051,2.0,0,Neukölln,Oct19,2.0,0,0,0,0,0,0,255.79999999999995
